Date,Price,Open,High,Low,Vol.,Change %
18-Oct-21,"62,082.80","61,525.80","62,623.60","60,026.90",84.60K,0.90%
17-Oct-21,"61,527.50","60,865.50","61,651.40","59,143.40",53.39K,1.09%
16-Oct-21,"60,861.10","61,669.20","62,329.20","60,161.90",49.93K,-1.32%
15-Oct-21,"61,672.50","57,348.20","62,892.80","56,874.80",121.48K,7.54%
14-Oct-21,"57,345.80","57,370.40","58,506.50","56,866.80",59.84K,-0.06%
13-Oct-21,"57,380.10","56,014.50","57,697.40","54,314.40",73.62K,2.44%
12-Oct-21,"56,015.90","57,480.60","57,635.70","54,155.40",74.85K,-2.54%
11-Oct-21,"57,477.30","54,686.90","57,814.10","54,457.80",73.84K,5.10%
10-Oct-21,"54,687.70","54,942.50","56,432.20","54,100.80",104.43K,-0.46%
9-Oct-21,"54,942.50","53,924.10","55,430.80","53,711.70",64.65K,1.91%
8-Oct-21,"53,914.70","53,785.50","55,977.90","53,659.30",64.05K,0.24%
7-Oct-21,"53,783.90","55,325.20","55,325.60","53,476.40",75.68K,-2.78%
6-Oct-21,"55,323.20","51,470.00","55,676.10","50,439.50",116.26K,7.49%
5-Oct-21,"51,469.30","49,229.50","51,872.40","49,060.10",76.63K,4.55%
4-Oct-21,"49,227.30","48,200.40","49,481.70","46,958.60",66.92K,2.13%
3-Oct-21,"48,200.10","47,665.40","49,165.20","47,123.00",42.41K,1.12%
2-Oct-21,"47,666.90","48,147.20","48,306.90","47,451.70",39.82K,-1.00%
1-Oct-21,"48,146.00","43,824.40","48,435.20","43,292.90",94.66K,9.86%
30-Sep-21,"43,823.30","41,534.50","44,101.20","41,416.70",64.32K,5.50%
29-Sep-21,"41,536.80","41,023.10","42,571.20","40,815.00",48.21K,1.25%
28-Sep-21,"41,022.30","42,169.90","42,758.80","40,906.40",60.01K,-2.73%
27-Sep-21,"42,172.60","43,200.90","44,293.20","42,143.90",54.12K,-2.39%
26-Sep-21,"43,203.40","42,685.80","43,907.30","40,786.60",69.91K,1.21%
25-Sep-21,"42,686.80","42,818.70","42,959.30","41,714.50",46.35K,-0.31%
24-Sep-21,"42,819.90","44,867.40","45,112.00","40,908.50",128.88K,-4.57%
23-Sep-21,"44,869.20","43,550.70","44,949.80","43,090.10",74.54K,3.03%
22-Sep-21,"43,551.60","40,660.80","43,976.70","40,585.70",93.98K,7.13%
21-Sep-21,"40,651.30","43,012.30","43,619.30","39,646.80",142.55K,-5.18%
20-Sep-21,"42,870.60","47,240.80","47,323.90","42,547.10",77.96K,-9.25%
19-Sep-21,"47,238.70","48,299.90","48,341.90","46,866.60",41.98K,-2.21%
18-Sep-21,"48,306.70","47,283.90","48,761.00","47,070.50",43.64K,2.17%
